Show,EpId,ClipId,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,file_path,exists,episode_id,clip_uid,fold,cross_show_split,Block_any,Block_maj,Prolongation_any,Prolongation_maj,SoundRep_any,SoundRep_maj,WordRep_any,WordRep_maj,Interjection_any,Interjection_maj
WomenWhoStutter,86,166,1739200,1787200,0,0,1,1,0,1,0,3,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/86/166.wav,True,WomenWhoStutter_86,WomenWhoStutter_86_166,2,train,1,0,1,0,0,0,1,0,1,1
WomenWhoStutter,22,17,11676160,11724160,0,0,0,0,0,3,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/22/17.wav,True,WomenWhoStutter_22,WomenWhoStutter_22_17,1,train,0,0,0,0,0,0,1,1,0,0
HeStutters,18,196,30687200,30735200,0,0,0,0,0,2,0,1,1,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/18/196.wav,True,HeStutters_18,HeStutters_18_196,0,train,0,0,0,0,0,0,1,1,1,0
WomenWhoStutter,17,36,1555680,1603680,0,0,1,0,0,3,0,2,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/17/36.wav,True,WomenWhoStutter_17,WomenWhoStutter_17_36,1,train,0,0,1,0,0,0,1,1,1,1
MyStutteringLife,30,173,8954400,9002400,0,0,0,1,1,2,0,3,0,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/MyStutteringLife/30/173.wav,True,MyStutteringLife_30,MyStutteringLife_30_173,3,test,1,0,0,0,1,0,1,1,1,1
StutterTalk,0,32,18478080,18526080,0,0,2,2,1,1,1,1,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/0/32.wav,True,StutterTalk_0,StutterTalk_0_32,4,train,1,1,1,1,1,0,1,0,1,0
StutterTalk,17,19,43728320,43776320,0,0,2,3,0,2,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/17/19.wav,True,StutterTalk_17,StutterTalk_17_19,4,train,1,1,1,1,0,0,1,1,0,0
StutterTalk,72,163,21466240,21514240,0,1,1,1,0,3,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/72/163.wav,True,StutterTalk_72,StutterTalk_72_163,2,train,1,0,1,0,0,0,1,1,0,0
WomenWhoStutter,74,83,11952960,12000960,0,0,0,0,0,3,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/74/83.wav,True,WomenWhoStutter_74,WomenWhoStutter_74_83,2,train,0,0,0,0,0,0,1,1,0,0
WomenWhoStutter,58,21,18106400,18154400,0,0,1,0,1,1,1,2,1,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/58/21.wav,True,WomenWhoStutter_58,WomenWhoStutter_58_21,0,train,0,0,1,0,1,0,1,0,1,1
WomenWhoStutter,30,37,2767840,2815840,0,0,2,1,1,1,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/30/37.wav,True,WomenWhoStutter_30,WomenWhoStutter_30_37,2,train,1,0,1,1,1,0,1,0,0,0
MyStutteringLife,2,8,18850560,18898560,0,0,1,1,2,1,0,1,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/MyStutteringLife/2/8.wav,True,MyStutteringLife_2,MyStutteringLife_2_8,0,test,1,0,1,0,1,1,1,0,1,0
WomenWhoStutter,101,43,4959360,5007360,0,1,0,0,0,3,1,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/101/43.wav,True,WomenWhoStutter_101,WomenWhoStutter_101_43,3,train,0,0,0,0,0,0,1,1,0,0
StutterTalk,8,9,20017920,20065920,0,0,0,0,0,3,0,3,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/8/9.wav,True,StutterTalk_8,StutterTalk_8_9,2,train,0,0,0,0,0,0,1,1,1,1
WomenWhoStutter,1,56,1685760,1733760,0,0,1,0,2,1,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/1/56.wav,True,WomenWhoStutter_1,WomenWhoStutter_1_56,0,train,0,0,1,0,1,1,1,0,0,0
MyStutteringLife,35,99,27173600,27221600,0,0,2,0,1,1,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/MyStutteringLife/35/99.wav,True,MyStutteringLife_35,MyStutteringLife_35_99,3,test,0,0,1,1,1,0,1,0,0,0
WomenWhoStutter,90,34,42417440,42465440,0,0,1,0,0,3,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/90/34.wav,True,WomenWhoStutter_90,WomenWhoStutter_90_34,1,train,0,0,1,0,0,0,1,1,0,0
HeStutters,12,30,30397600,30445600,1,0,1,1,0,1,1,2,0,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/12/30.wav,True,HeStutters_12,HeStutters_12_30,0,train,1,0,1,0,0,0,1,0,1,1
StutterTalk,48,39,41506880,41554880,0,0,1,0,0,2,0,3,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/48/39.wav,True,StutterTalk_48,StutterTalk_48_39,4,train,0,0,1,0,0,0,1,1,1,1
WomenWhoStutter,22,35,22444480,22492480,0,0,0,2,0,1,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/22/35.wav,True,WomenWhoStutter_22,WomenWhoStutter_22_35,1,train,1,1,0,0,0,0,1,0,0,0
HeStutters,8,107,23772960,23820960,0,0,0,1,2,1,0,2,0,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/8/107.wav,True,HeStutters_8,HeStutters_8_107,1,train,1,0,0,0,1,1,1,0,1,1
HeStutters,20,196,25753280,25801280,0,0,0,0,3,2,1,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/20/196.wav,True,HeStutters_20,HeStutters_20_196,2,train,0,0,0,0,1,1,1,1,0,0
WomenWhoStutter,96,187,44176000,44224000,0,0,0,1,0,3,0,1,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/96/187.wav,True,WomenWhoStutter_96,WomenWhoStutter_96_187,2,train,1,0,0,0,0,0,1,1,1,0
WomenWhoStutter,97,194,35637760,35685760,0,0,1,2,0,1,0,2,0,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/97/194.wav,True,WomenWhoStutter_97,WomenWhoStutter_97_194,1,train,1,1,1,0,0,0,1,0,1,1
WomenWhoStutter,74,167,23454720,23502720,0,0,0,1,0,2,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/74/167.wav,True,WomenWhoStutter_74,WomenWhoStutter_74_167,2,train,1,0,0,0,0,0,1,1,0,0
HVSA,1,170,9748000,9796000,0,0,0,0,0,3,0,2,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HVSA/1/170.wav,True,HVSA_1,HVSA_1_170,4,test,0,0,0,0,0,0,1,1,1,1
HeStutters,21,220,3169120,3217120,0,0,0,0,0,3,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/21/220.wav,True,HeStutters_21,HeStutters_21_220,1,train,0,0,0,0,0,0,1,1,0,0
HeStutters,2,192,26248480,26296480,0,1,0,0,0,3,0,3,1,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/2/192.wav,True,HeStutters_2,HeStutters_2_192,1,train,0,0,0,0,0,0,1,1,1,1
HeStutters,21,75,11482720,11530720,0,0,0,1,1,1,0,0,1,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/21/75.wav,True,HeStutters_21,HeStutters_21_75,1,train,1,0,0,0,1,0,1,0,0,0
HeStutters,12,167,18103680,18151680,0,0,0,0,0,2,0,1,1,2,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/12/167.wav,True,HeStutters_12,HeStutters_12_167,0,train,0,0,0,0,0,0,1,1,1,0
StutterTalk,8,121,13278240,13326240,0,0,0,2,0,3,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/8/121.wav,True,StutterTalk_8,StutterTalk_8_121,2,train,1,1,0,0,0,0,1,1,0,0
HeStutters,7,12,14910560,14958560,0,0,0,0,0,3,0,0,1,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/7/12.wav,True,HeStutters_7,HeStutters_7_12,1,train,0,0,0,0,0,0,1,1,0,0
StutterTalk,43,53,14702880,14750880,0,0,1,0,0,3,0,1,0,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/43/53.wav,True,StutterTalk_43,StutterTalk_43_53,4,train,0,0,1,0,0,0,1,1,1,0
HeStutters,12,136,1312320,1360320,0,0,1,1,1,1,0,0,0,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/12/136.wav,True,HeStutters_12,HeStutters_12_136,0,train,1,0,1,0,1,0,1,0,0,0
WomenWhoStutter,62,154,22366880,22414880,1,0,0,0,2,2,0,1,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/62/154.wav,True,WomenWhoStutter_62,WomenWhoStutter_62_154,3,train,0,0,0,0,1,1,1,1,1,0
WomenWhoStutter,21,139,21069120,21117120,0,0,0,1,0,1,0,0,1,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/21/139.wav,True,WomenWhoStutter_21,WomenWhoStutter_21_139,0,train,1,0,0,0,0,0,1,0,0,0
StutterTalk,50,4,6769600,6817600,0,0,1,1,0,3,0,2,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/50/4.wav,True,StutterTalk_50,StutterTalk_50_4,4,train,1,0,1,0,0,0,1,1,1,1
HeStutters,18,23,41640160,41688160,0,1,0,0,0,2,0,3,1,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/18/23.wav,True,HeStutters_18,HeStutters_18_23,0,train,0,0,0,0,0,0,1,1,1,1
StutterTalk,9,1,5632000,5680000,0,0,0,0,0,2,0,0,1,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/9/1.wav,True,StutterTalk_9,StutterTalk_9_1,3,train,0,0,0,0,0,0,1,1,0,0
HeStutters,20,52,47023360,47071360,0,0,1,0,0,3,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/20/52.wav,True,HeStutters_20,HeStutters_20_52,2,train,0,0,1,0,0,0,1,1,0,0
StutterTalk,34,3,36750560,36798560,0,0,0,2,0,1,2,1,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/34/3.wav,True,StutterTalk_34,StutterTalk_34_3,1,train,1,1,0,0,0,0,1,0,1,0
WomenWhoStutter,81,26,9206560,9254560,0,0,0,0,0,3,0,1,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/81/26.wav,True,WomenWhoStutter_81,WomenWhoStutter_81_26,1,train,0,0,0,0,0,0,1,1,1,0
WomenWhoStutter,0,101,40199360,40247360,0,0,2,2,0,1,2,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/0/101.wav,True,WomenWhoStutter_0,WomenWhoStutter_0_101,3,train,1,1,1,1,0,0,1,0,0,0
WomenWhoStutter,39,50,34083680,34131680,0,0,0,0,0,3,2,0,1,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/39/50.wav,True,WomenWhoStutter_39,WomenWhoStutter_39_50,4,train,0,0,0,0,0,0,1,1,0,0
StutterTalk,37,159,12517920,12565920,0,0,0,0,0,1,0,0,2,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/37/159.wav,True,StutterTalk_37,StutterTalk_37_159,1,train,0,0,0,0,0,0,1,0,0,0
MyStutteringLife,35,207,59348320,59396320,0,0,0,2,0,1,0,3,1,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/MyStutteringLife/35/207.wav,True,MyStutteringLife_35,MyStutteringLife_35_207,3,test,1,1,0,0,0,0,1,0,1,1
HeStutters,22,41,8283520,8331520,0,0,0,1,1,3,0,3,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/22/41.wav,True,HeStutters_22,HeStutters_22_41,3,train,1,0,0,0,1,0,1,1,1,1
MyStutteringLife,30,87,4295360,4343360,0,0,0,0,0,1,0,0,2,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/MyStutteringLife/30/87.wav,True,MyStutteringLife_30,MyStutteringLife_30_87,3,test,0,0,0,0,0,0,1,0,0,0
StutterTalk,28,36,7862240,7910240,0,1,0,2,2,1,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/28/36.wav,True,StutterTalk_28,StutterTalk_28_36,1,train,1,1,0,0,1,1,1,0,0,0
HVSA,1,137,7602240,7650240,0,0,0,1,1,1,0,3,0,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HVSA/1/137.wav,True,HVSA_1,HVSA_1_137,4,test,1,0,0,0,1,0,1,0,1,1
WomenWhoStutter,94,15,13374560,13422560,0,0,0,0,0,3,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/94/15.wav,True,WomenWhoStutter_94,WomenWhoStutter_94_15,0,train,0,0,0,0,0,0,1,1,0,0
WomenWhoStutter,61,38,31763840,31811840,0,0,0,2,2,1,0,1,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/61/38.wav,True,WomenWhoStutter_61,WomenWhoStutter_61_38,1,train,1,1,0,0,1,1,1,0,1,0
MyStutteringLife,19,24,24882400,24930400,0,0,0,3,0,1,0,3,0,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/MyStutteringLife/19/24.wav,True,MyStutteringLife_19,MyStutteringLife_19_24,0,test,1,1,0,0,0,0,1,0,1,1
WomenWhoStutter,86,104,10503840,10551840,0,0,0,0,0,3,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/86/104.wav,True,WomenWhoStutter_86,WomenWhoStutter_86_104,2,train,0,0,0,0,0,0,1,1,0,0
HeStutters,8,184,38173760,38221760,0,0,0,0,0,3,0,0,0,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/8/184.wav,True,HeStutters_8,HeStutters_8_184,1,train,0,0,0,0,0,0,1,1,0,0
HeStutters,15,67,8146560,8194560,0,0,1,1,0,1,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/15/67.wav,True,HeStutters_15,HeStutters_15_67,4,train,1,0,1,0,0,0,1,0,0,0
MyStutteringLife,7,174,43934720,43982720,0,0,0,1,2,1,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/MyStutteringLife/7/174.wav,True,MyStutteringLife_7,MyStutteringLife_7_174,1,test,1,0,0,0,1,1,1,0,0,0
StutterTalk,8,5,19618240,19666240,0,0,0,0,1,1,0,0,1,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/8/5.wav,True,StutterTalk_8,StutterTalk_8_5,2,train,0,0,0,0,1,0,1,0,0,0
WomenWhoStutter,62,50,6924480,6972480,0,0,0,0,0,2,0,1,1,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/62/50.wav,True,WomenWhoStutter_62,WomenWhoStutter_62_50,3,train,0,0,0,0,0,0,1,1,1,0
WomenWhoStutter,55,3,31257600,31305600,0,0,1,2,0,2,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/55/3.wav,True,WomenWhoStutter_55,WomenWhoStutter_55_3,2,train,1,1,1,0,0,0,1,1,0,0
WomenWhoStutter,42,136,8646720,8694720,1,0,0,0,0,3,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/42/136.wav,True,WomenWhoStutter_42,WomenWhoStutter_42_136,1,train,0,0,0,0,0,0,1,1,0,0
MyStutteringLife,38,27,48962560,49010560,0,0,0,1,1,1,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/MyStutteringLife/38/27.wav,True,MyStutteringLife_38,MyStutteringLife_38_27,4,test,1,0,0,0,1,0,1,0,0,0
WomenWhoStutter,68,11,21854560,21902560,0,0,0,0,1,2,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/68/11.wav,True,WomenWhoStutter_68,WomenWhoStutter_68_11,2,train,0,0,0,0,1,0,1,1,0,0
StutterTalk,31,34,42555040,42603040,0,0,0,1,0,3,0,0,0,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/31/34.wav,True,StutterTalk_31,StutterTalk_31_34,1,train,1,0,0,0,0,0,1,1,0,0
WomenWhoStutter,29,39,2226720,2274720,0,0,0,0,1,2,0,1,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/29/39.wav,True,WomenWhoStutter_29,WomenWhoStutter_29_39,3,train,0,0,0,0,1,0,1,1,1,0
WomenWhoStutter,96,133,34747520,34795520,0,0,0,1,1,1,1,3,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/96/133.wav,True,WomenWhoStutter_96,WomenWhoStutter_96_133,2,train,1,0,0,0,1,0,1,0,1,1
StutterTalk,10,26,37750080,37798080,1,0,0,0,0,2,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/10/26.wav,True,StutterTalk_10,StutterTalk_10_26,3,train,0,0,0,0,0,0,1,1,0,0
StutterTalk,69,25,29752160,29800160,0,0,0,1,1,1,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/69/25.wav,True,StutterTalk_69,StutterTalk_69_25,0,train,1,0,0,0,1,0,1,0,0,0
StutterTalk,63,162,38100160,38148160,0,0,0,2,1,3,1,1,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/63/162.wav,True,StutterTalk_63,StutterTalk_63_162,4,train,1,1,0,0,1,0,1,1,1,0
MyStutteringLife,20,38,12755840,12803840,0,0,0,0,0,1,0,2,2,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/MyStutteringLife/20/38.wav,True,MyStutteringLife_20,MyStutteringLife_20_38,2,test,0,0,0,0,0,0,1,0,1,1
WomenWhoStutter,88,112,21718720,21766720,0,0,0,0,0,3,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/88/112.wav,True,WomenWhoStutter_88,WomenWhoStutter_88_112,3,train,0,0,0,0,0,0,1,1,0,0
WomenWhoStutter,101,55,9001280,9049280,0,0,0,0,0,1,1,0,2,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/101/55.wav,True,WomenWhoStutter_101,WomenWhoStutter_101_55,3,train,0,0,0,0,0,0,1,0,0,0
WomenWhoStutter,101,197,36863520,36911520,0,0,0,0,2,1,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/101/197.wav,True,WomenWhoStutter_101,WomenWhoStutter_101_197,3,train,0,0,0,0,1,1,1,0,0,0
HVSA,1,8,10777440,10825440,0,0,0,1,0,3,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HVSA/1/8.wav,True,HVSA_1,HVSA_1_8,4,test,1,0,0,0,0,0,1,1,0,0
WomenWhoStutter,26,2,28949600,28997600,0,0,1,1,0,1,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/26/2.wav,True,WomenWhoStutter_26,WomenWhoStutter_26_2,2,train,1,0,1,0,0,0,1,0,0,0
StutterTalk,68,2,48959840,49007840,0,0,0,1,0,2,0,1,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/68/2.wav,True,StutterTalk_68,StutterTalk_68_2,3,train,1,0,0,0,0,0,1,1,1,0
StutterTalk,75,18,15178240,15226240,0,0,0,0,0,3,0,1,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/75/18.wav,True,StutterTalk_75,StutterTalk_75_18,2,train,0,0,0,0,0,0,1,1,1,0
HeStutters,12,170,19252960,19300960,0,1,0,1,1,1,2,3,0,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/12/170.wav,True,HeStutters_12,HeStutters_12_170,0,train,1,0,0,0,1,0,1,0,1,1
WomenWhoStutter,0,254,21594240,21642240,0,1,0,3,0,1,1,0,0,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/0/254.wav,True,WomenWhoStutter_0,WomenWhoStutter_0_254,3,train,1,1,0,0,0,0,1,0,0,0
HeStutters,20,12,38396320,38444320,0,1,0,0,0,2,2,1,1,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/20/12.wav,True,HeStutters_20,HeStutters_20_12,2,train,0,0,0,0,0,0,1,1,1,0
StutterTalk,68,144,33902400,33950400,0,0,0,0,0,1,0,2,2,2,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/68/144.wav,True,StutterTalk_68,StutterTalk_68_144,3,train,0,0,0,0,0,0,1,0,1,1
HeStutters,23,18,7676800,7724800,0,0,0,0,2,2,1,1,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/23/18.wav,True,HeStutters_23,HeStutters_23_18,2,train,0,0,0,0,1,1,1,1,1,0
